# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 257         4.603       52.506      8.50        Wijk aan Zee
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# NG        : Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten; 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants; 9=sky invisible)
# STN,YYYYMMDD,   TG,   TN,   TX,   NG
  257,20100101,  -27,  -92,   12,     
  257,20100102,    7,  -72,   42,     
  257,20100103,  -36,  -84,    3,     
  257,20100104,   14,  -23,   36,     
  257,20100105,   26,    1,   41,     
  257,20100106,   -5,  -21,   18,     
  257,20100107,  -35,  -94,    0,     
  257,20100108,  -61, -105,  -39,     
  257,20100109,  -19,  -47,   -3,     
  257,20100110,   -2,   -6,    1,     
  257,20100111,   -5,  -11,    2,     
  257,20100112,  -18,  -45,   -4,     
  257,20100113,  -38,  -58,  -12,     
  257,20100114,    2,  -14,   32,     
  257,20100115,   12,  -21,   24,     
  257,20100116,   13,    4,   22,     
  257,20100117,   43,   10,   59,     
  257,20100118,   46,   38,   53,     
  257,20100119,   34,    6,   53,     
  257,20100120,   11,    4,   29,     
  257,20100121,   14,    6,   26,     
  257,20100122,   24,    7,   56,     
  257,20100123,   17,   -4,   33,     
  257,20100124,   -9,  -18,   -3,     
  257,20100125,  -41,  -83,  -18,     
  257,20100126,  -82, -113,  -46,     
  257,20100127,    2, -120,   55,     
  257,20100128,   38,   20,   51,     
  257,20100129,   28,    5,   45,     
  257,20100130,    8,  -26,   38,     
  257,20100131,   29,   18,   38,     
  257,20100201,   18,  -28,   45,     
  257,20100202,   38,   18,   52,     
  257,20100203,   35,   21,   52,     
  257,20100204,   56,   23,   78,     
  257,20100205,   46,   22,   67,     
  257,20100206,   20,    3,   55,     
  257,20100207,    2,   -7,    9,     
  257,20100208,  -41,  -56,   -6,     
  257,20100209,  -31,  -50,  -11,     
  257,20100210,  -24,  -76,    0,     
  257,20100211,  -18,  -52,    3,     
  257,20100212,  -30, -112,   21,     
  257,20100213,  -11,  -51,   15,     
  257,20100214,  -22,  -73,   -1,     
  257,20100215,  -30,  -55,   -8,     
  257,20100216,   -1,  -25,   28,     
  257,20100217,   -5,  -41,   24,     
  257,20100218,   28,   -1,   51,     
  257,20100219,   38,   13,   58,     
  257,20100220,   20,  -23,   40,     
  257,20100221,   12,  -28,   39,     
  257,20100222,   31,   15,   43,     
  257,20100223,    8,   -7,   28,     
  257,20100224,   58,   -1,  100,     
  257,20100225,   66,   45,   86,     
  257,20100226,   65,   45,   87,     
  257,20100227,   67,   43,   87,     
  257,20100228,   48,   31,   80,     
  257,20100301,   40,   26,   64,     
  257,20100302,   44,   29,   66,     
  257,20100303,   19,  -37,   70,     
  257,20100304,   20,  -13,   61,     
  257,20100305,   27,  -42,   54,     
  257,20100306,    5,  -43,   36,     
  257,20100307,  -18,  -84,   35,     
  257,20100308,   13,  -35,   61,     
  257,20100309,    2,  -49,   53,     
  257,20100310,    3,  -22,   19,     
  257,20100311,   29,    1,   58,     
  257,20100312,   42,   34,   57,     
  257,20100313,   49,   36,   67,     
  257,20100314,   54,   45,   69,     
  257,20100315,   53,   42,   72,     
  257,20100316,   50,   37,   72,     
  257,20100317,   67,   48,   93,     
  257,20100318,  117,   54,  171,     
  257,20100319,   97,   70,  131,     
  257,20100320,   98,   75,  134,     
  257,20100321,   66,   51,   85,     
  257,20100322,   76,   14,  120,     
  257,20100323,   81,   52,  109,     
  257,20100324,  138,   93,  189,     
  257,20100325,  144,  106,  192,     
  257,20100326,   96,   71,  132,     
  257,20100327,   77,   60,   93,     
  257,20100328,   69,   61,   78,     
  257,20100329,   93,   61,  127,     
  257,20100330,   98,   62,  145,     
  257,20100331,   64,   47,   94,     
  257,20100401,   54,   36,   77,     
  257,20100402,   83,   41,  133,     
  257,20100403,   78,   62,  106,     
  257,20100404,   65,   54,   79,     
  257,20100405,   77,   53,   99,     
  257,20100406,  119,   67,  166,     
  257,20100407,  113,   76,  160,     
  257,20100408,   75,   60,   96,     
  257,20100409,   80,   50,  106,     
  257,20100410,   59,   -7,  106,     
  257,20100411,   66,    6,  115,     
  257,20100412,   91,   21,  144,     
  257,20100413,   83,   57,  144,     
