wijk_name,green_percentage,total_area_ha,green_area_ha,green_features_count
Daalmeer Zuid-West,11.147551803553176,5.665416813904936e-09,6.315552742172646e-10,33
Overstad,4.125340865059174,4.819100960614334e-09,1.9880434125668233e-10,7
De Nollen,32.06684350909767,1.1543976061529308e-08,3.7017887383783005e-09,123
De Hoef III en IV,26.89468054890627,9.872073198312064e-09,2.6550625502402237e-09,111
Burgemeesterskwartier,3.922271971024534,2.3854547227475786e-09,9.356402197180926e-11,14
Koedijk / De Weijdt,19.930089772670932,9.54212576488336e-09,1.9017542311624166e-09,55
De Horn Zuid,19.141609460107965,7.908420390095045e-09,1.5137989455355403e-09,77
De Mare Centrum,37.86945362021672,8.05406089123567e-09,3.0500288537505053e-09,203
Emmakwartier,1.2533048885768652,2.4108292189100414e-09,3.0215040455839e-11,2
Cranenbroek,39.0255893533026,2.5253807068536708e-09,9.85544704264244e-10,12
Landelijk Gebied Noord,77.52158743299327,1.5306274307034408e-08,1.1865666819661466e-08,99
Kooimeer,13.448771078334747,4.351549208437363e-09,5.852298914038289e-10,20
Overdie - West,15.167409363988252,3.2792478406474807e-09,4.973769440507486e-10,32
Beverkoog,23.174819462574646,1.4492760744078778e-08,3.358671137583147e-09,31
Huiswaard 2 Oost,16.25601491498894,3.544594524003741e-09,5.762098144979292e-10,29
Oudorperpolder - Noord,8.317392712912701,2.211123076190428e-09,1.839077896125938e-10,16
Binnenstad - West,9.006189534376546,5.344757782506431e-09,4.813590160458701e-10,31
De Hoef I en II,21.764812374088464,6.82947749487687e-09,1.4864229628905478e-09,39
Het Rak Noord,23.41213447013021,7.77483942794529e-09,1.8202558617072535e-09,60
Overdie - Oost,16.33836278719087,3.778595339666092e-09,6.173606148545333e-10,26
Staatslieden - Landstratenkwartier,5.6868762824817845,2.9210963206380275e-09,1.6611913384681201e-10,7
Oud Rochdale,1.3797752282010438,1.1459945434769878e-09,1.581214882743112e-11,2
Oudorp Centrum,16.27028753041826,6.104518890525377e-09,9.932227758371774e-10,47
Nassaukwartier en Hout,33.1288589711112,8.02507952087665e-09,2.6586172767907513e-09,99
Zuid,17.881986738623592,3.468042742096801e-08,6.201549432315479e-09,210
Oranjepark,21.862179915568,6.417962571542131e-09,1.4031065243043554e-09,63
Bloemwijk - Zocherstraat,0.0,2.2392751472115202e-09,0.0,0
Spoorbuurt,0.2849578529158728,3.3648300883479355e-09,9.588347574023542e-12,2
Oudorperpolder - Midden,12.702088000069292,1.469190683888152e-09,1.8661789355629288e-10,5
Dillenburg - Stadhouderskwartier,11.663568676921324,2.2578054602740364e-09,2.633406904503418e-10,16
Bergermeer,21.030188090202813,6.184320051221078e-09,1.3005741388719198e-09,47
Muiderwaard,44.40947001231699,1.0624397492686299e-09,4.71823861850388e-10,15
Huiswaard 2 West,7.352306523623449,4.271942220678647e-09,3.140862865763806e-10,26
De Horn Noord,17.779696464387452,6.606914977273176e-09,1.1746894286193236e-09,37
Daalmeer Zuid-Oost,16.981907124439267,6.004667035040449e-09,1.01970697902239e-09,61
Vroonermeer,16.272420677717083,1.1131930635143166e-08,1.8114345825021593e-09,66
Huiswaard,14.70111610514662,1.51923213357002e-08,2.2334407986282487e-09,98
Vroonermeer Zuid,18.656867757777874,6.633059017915767e-09,1.2375210492679044e-09,59
Vroonermeer Noord,12.756832869749047,4.498871617227398e-09,5.739135332342751e-10,12
