regio,gm_naam,recs,a_inw,a_65_oo,a_ste,p_ste,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_opp_ha,a_lan_ha,a_wat_ha,wijk_name,green_percentage,total_area_ha,green_area_ha,green_features_count,geometry
Bergerhof en Blaeustraat kwartier,Alkmaar,Buurt,1650,275,10,5,1400,"39,3","33,0","29,5","22,2","35,6","39,1","17,0","2,9","2,9","4,8","5,5",194.2,55,52,4,Bergerhof en Blaeustraat kwartier,21.16784390540199,7.329454488033537e-09,1.5514874851444198e-09,41,"POLYGON ((4.72780751305917 52.642265515894785, 4.7260391696495585 52.6404382424324, 4.734223153192086 52.63759003711868, 4.735595554112013 52.63690710869911, 4.737291219694184 52.63762280815833, 4.740236012464856 52.638030351617154, 4.7462731670312 52.63866544915442, 4.744282126877676 52.64518095138382, 4.743886451813645 52.646471467610354, 4.740031745619119 52.645986638532605, 4.737453459222058 52.64592475778111, 4.737877317809358 52.644384938326986, 4.739073485424096 52.64342850474287, 4.739526117953633 52.64247981186091, 4.741702703178694 52.64177037363558, 4.741463390732027 52.641375566456304, 4.739752474071015 52.64058754228112, 4.739073689664274 52.63998738556961, 4.737860697723368 52.63996083383419, 4.73036595724026 52.64023586855185, 4.728975334316245 52.64072205697822, 4.72780751305917 52.642265515894785))"
Bergermeer,Alkmaar,Buurt,2080,510,20,10,1600,"44,8","35,6","29,2","30,5","41,4","22,5","31,3","1,7","2,7","3,3","4,9",289.8,47,43,3,Bergermeer,21.030188090202813,6.184320051221078e-09,1.3005741388719198e-09,47,"POLYGON ((4.7323426261272035 52.64719146512275, 4.72780751305917 52.642265515894785, 4.728975334316245 52.64072205697822, 4.73036595724026 52.64023586855185, 4.737860697723368 52.63996083383419, 4.739073689664274 52.63998738556961, 4.739752474071015 52.64058754228112, 4.741463390732027 52.641375566456304, 4.741702703178694 52.64177037363558, 4.739526117953633 52.64247981186091, 4.739073485424096 52.64342850474287, 4.737877317809358 52.644384938326986, 4.737453459222058 52.64592475778111, 4.736762985962349 52.6459788701066, 4.734579459973242 52.646454394344104, 4.7323426261272035 52.64719146512275))"
Bergerwegkwartier,Alkmaar,Buurt,1500,275,5,3,1200,"38,3","31,5","35,7","24,5","38,4","32,6","26,0","1,8","2,9","6,2","6,3",259.7,21,20,1,Bergerwegkwartier,9.001149536445224,2.8123771346503507e-09,2.531462714186715e-10,14,"POLYGON ((4.723826797675987 52.637917170978774, 4.725335370792379 52.63750628478812, 4.730680859959198 52.635820695643105, 4.732937755126902 52.63496703064014, 4.734159319400872 52.63630087311367, 4.735595554112013 52.63690710869911, 4.734223153192086 52.63759003711868, 4.7260391696495585 52.6404382424324, 4.7257293186362155 52.639988943093876, 4.723826797675987 52.637917170978774))"
Beverkoog,Alkmaar,Buurt,50,10,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,109,101,9,Beverkoog,23.174819462574646,1.4492760744078778e-08,3.358671137583147e-09,31,"POLYGON ((4.780209810547672 52.644150320814745, 4.7790600403261 52.6434811483244, 4.778361914675754 52.64277648882363, 4.777920488518212 52.64152569527065, 4.786690318821054 52.64060372486927, 4.791959552259576 52.64760407644994, 4.798903164131998 52.65378737314939, 4.799847473839222 52.65565737911945, 4.8006661020128885 52.65787219758835, 4.799672344493516 52.65787844266917, 4.798746583687373 52.65868470602245, 4.794898366222816 52.65698293400564, 4.795127910418992 52.65672961889897, 4.788995325022257 52.65400140165827, 4.788299206613197 52.65336802895411, 4.783746507538975 52.647019341684654, 4.783145403662857 52.646709459370484, 4.78229935016789 52.64653676402282, 4.7807970034919 52.64458553781784, 4.780209810547672 52.644150320814745))"
Binnenstad - Oost,Alkmaar,Buurt,3270,490,15,4,2900,"44,4","39,4","28,6","28,2","38,0","41,7","19,6","4,1","5,1","8,4","10,4",74.6,32,27,4,Binnenstad - Oost,4.916534910970469,4.205006120769222e-09,2.0674059393606387e-10,15,"POLYGON ((4.756968129499995 52.63056208811395, 4.756595074416284 52.630888532363, 4.75547491839609 52.63186870658223, 4.754230429193588 52.63235977637868, 4.752830699028597 52.63276343944774, 4.751532178254725 52.63312983572107, 4.750855729600473 52.63208199322008, 4.750581874271114 52.63111179619122, 4.750078477416788 52.63055120445858, 4.749471619283328 52.63017850579817, 4.749038165992886 52.62982211175935, 4.74882283534787 52.62956709158384, 4.748099216644139 52.62893805643045, 4.747399797196954 52.628035645442154, 4.747341286719394 52.62761754690404, 4.747983374045511 52.627639326187314, 4.752728834242816 52.626573473718445, 4.752973396905692 52.626525375534236, 4.755691758406126 52.62588585502903, 4.755955700933191 52.62584838834199, 4.7561394558660846 52.62589293362653, 4.7563897117034974 52.62597503544258, 4.757736751830203 52.62665773179779, 4.758198020467889 52.626917095448846, 4.754971454327783 52.6283010782304, 4.756968129499995 52.63056208811395))"
Binnenstad - West,Alkmaar,Buurt,2960,380,10,4,2700,"42,5","38,9","27,5","23,6","35,4","50,1","12,1","5,5","5,8","8,2","10,1",21.9,40,36,4,Binnenstad - West,9.006189534376546,5.344757782506431e-09,4.813590160458701e-10,31,"POLYGON ((4.749185407208509 52.63378926276505, 4.74690538527523 52.63438007766437, 4.7463176920957695 52.634729617801796, 4.7459419773253515 52.63520857501722, 4.744388301686869 52.63548468676492, 4.743120136701011 52.63450746623568, 4.742039527885602 52.63410533083729, 4.7415295438132175 52.63390819424325, 4.739900352749854 52.63389337692164, 4.739422734131688 52.63361169320793, 4.739895081224332 52.63292908349473, 4.740682786584407 52.632336379494134, 4.741071600882734 52.631718109152004, 4.7412452876759295 52.63046845250179, 4.74099927576519 52.62959071000445, 4.742022582189245 52.62925161378329, 4.742519467829253 52.629500498425536, 4.742826785233165 52.6294091549549, 4.744634348327285 52.62887187255314, 4.746104937083834 52.62814598995463, 4.746554004577942 52.62765127824707, 4.747341286719394 52.62761754690404, 4.747399797196954 52.628035645442154, 4.748099216644139 52.62893805643045, 4.74882283534787 52.62956709158384, 4.749038165992886 52.62982211175935, 4.749471619283328 52.63017850579817, 4.750078477416788 52.63055120445858, 4.750581874271114 52.63111179619122, 4.750855729600473 52.63208199322008, 4.751532178254725 52.63312983572107, 4.749185407208509 52.63378926276505))"
Bloemwijk - Zocherstraat,Alkmaar,Buurt,1580,275,10,6,1300,"36,8","31,5","34,2","18,3","33,3","46,0","14,4","3,4","4,9","7,0","9,5",83.9,17,17,0,Bloemwijk - Zocherstraat,0.0,2.2392751472115202e-09,0.0,0,"POLYGON ((4.732937755126902 52.63496703064014, 4.730513887813346 52.63230528996968, 4.732789214757416 52.63125805315831, 4.739372240908312 52.63526875561593, 4.7383627069070515 52.635622679404534, 4.736360510309188 52.63649094493927, 4.735595554112013 52.63690710869911, 4.734159319400872 52.63630087311367, 4.732937755126902 52.63496703064014))"
Boekelermeer - Noord,Alkmaar,Buurt,15,10,0,63,0,.,.,.,.,.,.,.,.,.,.,.,.,156,140,16,Boekelermeer - Noord,22.59710413639935,2.069106654097323e-08,4.675581853195403e-09,132,"POLYGON ((4.7679189074008175 52.615639377929554, 4.768164857132121 52.61680840717437, 4.768198637545384 52.61694041522115, 4.7630783392162614 52.61733787060978, 4.759570564535979 52.617295862547365, 4.75055277271698 52.61402177803599, 4.749445863488099 52.61374272783087, 4.747632136550883 52.613559849945176, 4.746258811020574 52.61359634615047, 4.744712910001737 52.61384643034761, 4.742641626749913 52.614554067536446, 4.742312337041387 52.614858264055535, 4.741723415899261 52.61468341819415, 4.741391590188662 52.61432338955646, 4.740650080454327 52.61431562847401, 4.739993020312793 52.61444197330332, 4.7394510736165625 52.613868172403464, 4.737879830658803 52.61216162085036, 4.742133793806352 52.61016019826368, 4.742693724551458 52.61055762755583, 4.74592153850073 52.60931824256811, 4.746312427062807 52.609629856231486, 4.763908350304368 52.60501824201685, 4.765430573427465 52.60689688994526, 4.765465917916909 52.60694888142939, 4.765558515188912 52.60708966704439, 4.765652195857228 52.60724578164478, 4.765729450780904 52.6073879697809, 4.765744094663998 52.607418369608624, 4.7657852588165985 52.60750378474284, 4.765825406048865 52.60759892602386, 4.766957719147403 52.611948139577734, 4.7679189074008175 52.615639377929554))"
Boekelermeer - Zuid,Alkmaar,Buurt,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,300,284,16,Boekelermeer - Zuid,26.36089142762662,3.9850765916233685e-08,1.0505017136255996e-08,105,"POLYGON ((4.737879830658803 52.61216162085036, 4.735329748068243 52.60931990998976, 4.73478958575213 52.60913328947441, 4.734671020456401 52.60869088329715, 4.734353000205114 52.60858164802433, 4.733841601027093 52.6080960550565, 4.733347834496993 52.60754718696449, 4.734643769512322 52.606954970238675, 4.736311552912173 52.60545854559544, 4.735941497368411 52.605405443043935, 4.735789723005573 52.60515121264774, 4.735562992349904 52.60505341841896, 4.735458987214982 52.60490221095526, 4.735381072723649 52.60382786602806, 4.736040775935755 52.602361527760515, 4.736425245389605 52.600893651520515, 4.736419789123859 52.5995683623646, 4.73712514010739 52.59839166931983, 4.737757594652364 52.5979152829754, 4.737899732898288 52.59675836032636, 4.736998750689479 52.595938476266944, 4.736976927032459 52.594872049432894, 4.737462322759865 52.59385825009784, 4.745122363958484 52.59292920096091, 4.745076430060321 52.59277575390213, 4.752138624359826 52.59189088758253, 4.752431529528723 52.592584723134316, 4.754938231218716 52.59219432216924, 4.754889486280761 52.59177267190456, 4.756477860689551 52.59156833843387, 4.760253543910466 52.598130392419456, 4.762338223814827 52.60205945890479, 4.762778220787102 52.60290915501422, 4.762850951682655 52.60304961386401, 4.763798983007617 52.6048802519759, 4.763908350304368 52.60501824201685, 4.746312427062807 52.609629856231486, 4.74592153850073 52.60931824256811, 4.742693724551458 52.61055762755583, 4.742133793806352 52.61016019826368, 4.737879830658803 52.61216162085036))"
Burgemeesterskwartier,Alkmaar,Buurt,1485,300,10,7,1200,"45,6","36,1","31,3","32,6","43,5","16,7","40,5","1,5","1,2","1,5","2,2",400.7,18,18,0,Burgemeesterskwartier,3.922271971024534,2.3854547227475786e-09,9.356402197180926e-11,14,"POLYGON ((4.732371708553606 52.61818674622894, 4.7322228772213615 52.61808749693847, 4.733192814069344 52.61765870459136, 4.734857102864582 52.61901937398034, 4.7349867890438695 52.619402846968676, 4.7362828417227805 52.62038903060982, 4.737567412726108 52.61973427634195, 4.738401580061169 52.62049613120173, 4.7387130271331275 52.621135346403825, 4.739484565529543 52.62278762058642, 4.740184121200467 52.622996889336335, 4.740825086018582 52.62312250497067, 4.741251068349568 52.62342267808388, 4.741482221707579 52.6240277016506, 4.74032042055182 52.62441770769728, 4.73792024323883 52.62517139315812, 4.7370676838277905 52.62399246897316, 4.736600379429385 52.6232611667002, 4.7353721859218965 52.62177700368859, 4.733817578512584 52.620282522369266, 4.732236245441428 52.61939106402483, 4.731262931738302 52.61868389636326, 4.732371708553606 52.61818674622894))"
